observation_id,vec_analog_video_texture,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_final_bloom,vec_fine_detail_rolloff,vec_global_contrast,vec_grain_structure,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_telecine_softness,vec_veiling_glare,vec_vhs_bandwidth_loss
obs_0016,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0017,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,0.7400,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0018,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0019,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0020,0.0000,0.0000,0.4500,0.7000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6600,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0021,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0022,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0023,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.8000,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0024,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0025,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0026,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.8200,0.5000,0.5500,0.8000,0.7800,0.0000,0.0000,0.0000
obs_0027,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0028,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0029,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0030,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0031,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0032,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5200,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0033,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0034,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0035,0.0000,0.0000,0.6200,0.4000,0.4000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5000,0.0000,0.4000,0.6000,0.5000,0.5500,0.8000,0.4800,0.0000,0.0000,0.0000
obs_0036,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0037,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0038,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6200,0.0000,0.4500,0.4800,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0039,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0040,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0041,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6400,0.7000,0.0000,0.4500,0.5500,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0042,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0043,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0044,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.6800,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0045,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0046,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0047,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.7400,0.5500,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0048,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0049,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0050,0.0000,0.0000,0.4000,0.3500,0.4500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800,0.6600,0.0000,0.4500,0.5800,0.4800,0.5500,0.4500,0.4000,0.0000,0.0000,0.0000
obs_0051,0.0000,0.0000,0.5000,0.4500,0.5000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7200,0.7400,0.0000,0.4500,0.4800,0.5800,0.6400,0.5600,0.4000,0.0000,0.0000,0.0000
obs_0052,0.0000,0.0000,0.5000,0.4500,0.5000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800,0.7400,0.0000,0.4500,0.4800,0.5800,0.6600,0.5800,0.4000,0.0000,0.0000,0.0000
obs_0053,0.0000,0.0000,0.5000,0.4500,0.5000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.7000,0.0000,0.4500,0.4800,0.5800,0.7600,0.6400,0.4000,0.0000,0.0000,0.0000
obs_0054,0.0000,0.0000,0.5000,0.6000,0.5000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800,0.7200,0.0000,0.4500,0.4800,0.5800,0.7800,0.5800,0.4000,0.0000,0.0000,0.0000
obs_0055,0.0000,0.0000,0.5000,0.4500,0.5000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800,0.5500,0.0000,0.4500,0.4800,0.5800,0.6000,0.5800,0.4000,0.0000,0.0000,0.0000
obs_0056,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0057,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0058,0.0000,0.0000,0.4000,0.5000,0.5500,0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6800,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0059,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0060,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0061,0.0000,0.0000,0.4000,0.4500,0.5500,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.7400,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0062,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0063,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0064,0.0000,0.0000,0.4000,0.5000,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0065,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0066,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0067,0.0000,0.0000,0.4000,0.5000,0.5500,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5200,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0068,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0069,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0070,0.0000,0.0000,0.4000,0.5000,0.5500,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0071,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0072,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0073,0.0000,0.7000,0.5000,0.5000,0.8000,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0074,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0075,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0076,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0077,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0078,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0079,0.0000,0.7400,0.5000,0.5000,0.8200,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0080,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0081,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0082,0.0000,0.0000,0.5000,0.5000,0.7000,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.6800,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0083,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0084,0.0000,0.0000,0.5000,0.5000,0.7600,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0085,0.0000,0.0000,0.5000,0.5000,0.7000,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5800,0.4000,0.3500,0.0000,0.5500,0.0000
obs_0086,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0087,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0088,0.0000,0.0000,0.4000,0.7800,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6400,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0089,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0090,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0091,0.0000,0.0000,0.4000,0.8400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.7000,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0092,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0093,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0094,0.0000,0.0000,0.4000,0.5000,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.7600,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0095,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0096,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0097,0.0000,0.0000,0.4000,0.6800,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0098,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0099,0.0000,0.0000,0.4000,0.7400,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.5500,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0100,0.0000,0.0000,0.4000,0.8200,0.5500,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.3500,0.3500,0.5000,0.6800,0.4000,0.3500,0.0000,0.4500,0.0000
obs_0101,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0102,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0103,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6200,0.0000,0.4500,0.7800,0.5000,0.0000,0.4500,0.0000
obs_0104,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0105,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0106,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.6400,0.5000,0.0000,0.4500,0.0000
obs_0107,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0108,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0109,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7000,0.5000,0.0000,0.4500,0.0000
obs_0110,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
obs_0111,0.0000,0.0000,0.5800,0.0000,0.4500,0.0000,0.4500,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4500,0.7600,0.5000,0.0000,0.4500,0.0000
