observation_id,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_global_contrast,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_veiling_glare
obs_0020,0.0000,0.2200,0.5800,0.3800,0.7400,0.0000,0.0000,0.0800,0.5000,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000,0.0000
obs_0021,0.0000,0.2700,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000,0.0000
obs_0022,0.0000,0.3900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000,0.0000
obs_0023,0.0000,0.5900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.7800,0.5500,0.1800,0.8600,0.3000,0.0000
obs_0024,0.0000,0.2700,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000,0.0000
obs_0025,0.0000,0.3900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000,0.0000
obs_0026,0.0000,0.5900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.8400,0.5500,0.1800,0.8600,0.7200,0.0000
obs_0027,0.0000,0.2700,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000,0.0000
obs_0028,0.0000,0.3900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000,0.0000
obs_0029,0.0000,0.5900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4600,0.5500,0.1800,0.8600,0.3000,0.0000
obs_0030,0.0000,0.2700,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000,0.0000
obs_0031,0.0000,0.3900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000,0.0000
obs_0032,0.0000,0.5900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4000,0.5500,0.1800,0.8600,0.3000,0.0000
obs_0033,0.0000,0.2700,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000,0.0000
obs_0034,0.0000,0.3900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000,0.0000
obs_0035,0.0000,0.5900,0.0800,0.0800,0.1600,0.0000,0.0000,0.0500,0.0600,0.0000,0.3200,0.6200,0.5500,0.1800,0.8600,0.3000,0.0000
obs_0036,0.0000,0.2200,0.0800,0.1400,0.1600,0.0000,0.0000,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000,0.0000
obs_0037,0.0000,0.2200,0.0800,0.2000,0.1600,0.0000,0.0000,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000,0.0000
obs_0038,0.0000,0.2200,0.0800,0.2600,0.1600,0.0000,0.0000,0.5800,0.5500,0.0000,0.5400,0.4000,0.5800,0.3100,0.3000,0.3000,0.0000
obs_0039,0.0000,0.2200,0.0800,0.1400,0.1600,0.0000,0.0000,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000,0.0000
obs_0040,0.0000,0.2200,0.0800,0.2000,0.1600,0.0000,0.0000,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000,0.0000
obs_0041,0.0000,0.2200,0.0800,0.2600,0.1600,0.0000,0.0000,0.6600,0.7000,0.0000,0.5400,0.4800,0.5800,0.3100,0.3000,0.3000,0.0000
obs_0042,0.0000,0.2200,0.0800,0.1400,0.1600,0.0000,0.0000,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000,0.0000
obs_0043,0.0000,0.2200,0.0800,0.2000,0.1600,0.0000,0.0000,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000,0.0000
obs_0044,0.0000,0.2200,0.0800,0.2600,0.1600,0.0000,0.0000,0.7400,0.6000,0.0000,0.5400,0.2800,0.5800,0.3100,0.3000,0.3000,0.0000
obs_0045,0.0000,0.2200,0.0800,0.1400,0.1600,0.0000,0.0000,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000,0.0000
obs_0046,0.0000,0.2200,0.0800,0.2000,0.1600,0.0000,0.0000,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000,0.0000
obs_0047,0.0000,0.2200,0.0800,0.2600,0.1600,0.0000,0.0000,0.4500,0.7800,0.5500,0.5400,0.2800,0.5800,0.3100,0.3000,0.3000,0.0000
obs_0048,0.0000,0.2200,0.0800,0.1400,0.1600,0.0000,0.0000,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000,0.0000
obs_0049,0.0000,0.2200,0.0800,0.2000,0.1600,0.0000,0.0000,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000,0.0000
obs_0050,0.0000,0.2200,0.0800,0.2600,0.1600,0.0000,0.0000,0.6000,0.6400,0.0000,0.5400,0.5200,0.5800,0.3100,0.3000,0.3000,0.0000
obs_0051,0.0000,0.4000,0.2200,0.4000,0.6400,0.0000,0.0000,0.7800,0.7600,0.0000,0.5000,0.4200,0.2800,0.5800,0.3800,0.3000,0.0000
obs_0052,0.0000,0.4000,0.2200,0.4000,0.6400,0.0000,0.0000,0.5200,0.7200,0.0000,0.5000,0.4200,0.2800,0.6000,0.4000,0.3000,0.0000
obs_0053,0.0000,0.4000,0.2200,0.4000,0.6400,0.0000,0.0000,0.5000,0.6200,0.0000,0.5000,0.4200,0.2800,0.8000,0.5500,0.3000,0.0000
obs_0054,0.0000,0.4000,0.5500,0.4000,0.6400,0.0000,0.0000,0.5200,0.7400,0.0000,0.5000,0.4200,0.2800,0.8800,0.4800,0.3000,0.0000
obs_0055,0.0000,0.4000,0.2200,0.4000,0.6400,0.0000,0.0000,0.5200,0.5500,0.0000,0.5000,0.4200,0.2800,0.7000,0.5200,0.3000,0.0000
obs_0056,0.0000,0.2200,0.1000,0.0800,0.1200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.5900,0.2300,0.2800,0.3000,0.0800
obs_0057,0.0000,0.2200,0.1000,0.0800,0.4000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.4800,0.3800,0.2800,0.3000,0.0800
obs_0058,0.0000,0.2200,0.1000,0.0800,0.7000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.3500,0.6200,0.2800,0.3000,0.0800
obs_0059,0.0000,0.2200,0.1000,0.0800,0.1200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.5900,0.2300,0.2800,0.3000,0.0800
obs_0060,0.0000,0.2200,0.1000,0.0800,0.4000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.4800,0.3800,0.2800,0.3000,0.0800
obs_0061,0.0000,0.2200,0.2200,0.0800,0.7000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.3500,0.7800,0.2800,0.3000,0.0800
obs_0062,0.0000,0.2200,0.1000,0.0800,0.1200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.5900,0.2300,0.2800,0.3000,0.0800
obs_0063,0.0000,0.2200,0.1000,0.0800,0.4000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.4800,0.3800,0.2800,0.3000,0.0800
obs_0064,0.0000,0.2200,0.1000,0.0800,0.4800,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.3500,0.4500,0.2800,0.3000,0.0800
obs_0065,0.0000,0.2200,0.1000,0.0800,0.1200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.5900,0.2300,0.2800,0.3000,0.0800
obs_0066,0.0000,0.2200,0.1000,0.0800,0.4000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.4800,0.3800,0.2800,0.3000,0.0800
obs_0067,0.0000,0.2200,0.1000,0.0800,0.5200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.3500,0.4800,0.2800,0.3000,0.0800
obs_0068,0.0000,0.2200,0.1000,0.0800,0.1200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.5900,0.2300,0.2800,0.3000,0.0800
obs_0069,0.0000,0.2200,0.1000,0.0800,0.4000,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.4800,0.3800,0.2800,0.3000,0.0800
obs_0070,0.0000,0.2200,0.1000,0.0800,0.5800,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.3500,0.4000,0.2800,0.3000,0.0800
obs_0071,0.0000,0.2400,0.1000,0.0800,0.1700,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1900,0.2800,0.3000,0.1300
obs_0072,0.0000,0.3000,0.1000,0.4200,0.2100,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2600,0.2800,0.3000,0.2500
obs_0073,0.7000,0.3800,0.1000,0.8400,0.2600,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.3300,0.2800,0.3000,0.3900
obs_0074,0.0000,0.2400,0.1000,0.0800,0.1700,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1900,0.2800,0.3000,0.1300
obs_0075,0.0000,0.3000,0.1000,0.4200,0.2100,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2600,0.2800,0.3000,0.2500
obs_0076,0.0000,0.3800,0.1000,0.8000,0.2600,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.3300,0.2800,0.3000,0.3900
obs_0077,0.0000,0.2400,0.1000,0.0800,0.1700,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1900,0.2800,0.3000,0.1300
obs_0078,0.0000,0.3000,0.1000,0.4200,0.2100,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2600,0.2800,0.3000,0.2500
obs_0079,0.8000,0.3800,0.1000,0.8800,0.2200,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.3300,0.2800,0.3000,0.3900
obs_0080,0.0000,0.2400,0.1000,0.0800,0.1700,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1900,0.2800,0.3000,0.1300
obs_0081,0.0000,0.3000,0.1000,0.4200,0.2100,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2600,0.2800,0.3000,0.2500
obs_0082,0.0000,0.3800,0.1000,0.7800,0.2600,0.0000,0.0000,0.0600,0.6200,0.0000,0.3500,0.2800,0.6000,0.3300,0.2800,0.3000,0.3900
obs_0083,0.0000,0.2400,0.1000,0.0800,0.1700,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1900,0.2800,0.3000,0.1300
obs_0084,0.0000,0.3000,0.1000,0.4200,0.2100,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2600,0.2800,0.3000,0.2500
obs_0085,0.0000,0.3800,0.1000,0.7200,0.2600,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.3300,0.2800,0.3000,0.3900
obs_0086,0.0000,0.2200,0.1400,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0087,0.0000,0.2200,0.4600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0088,0.0000,0.2200,0.8000,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2200,0.2800,0.3000,0.0800
obs_0089,0.0000,0.2200,0.1400,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0090,0.0000,0.2200,0.4600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0091,0.0000,0.2200,0.8800,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1800,0.2800,0.3000,0.0800
obs_0092,0.0000,0.2200,0.1400,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0093,0.0000,0.2200,0.4600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0094,0.0000,0.2200,0.4200,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.7800,0.2800,0.3000,0.0800
obs_0095,0.0000,0.2200,0.1400,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0096,0.0000,0.2200,0.4600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0097,0.0000,0.2200,0.7000,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2800,0.2800,0.3000,0.0800
obs_0098,0.0000,0.2200,0.1400,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0099,0.0000,0.2200,0.4600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.1600,0.2800,0.3000,0.0800
obs_0100,0.0000,0.2200,0.8600,0.0800,0.1400,0.0000,0.0000,0.0600,0.0800,0.0000,0.3500,0.2800,0.6000,0.2000,0.2800,0.3000,0.0800
obs_0101,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3400,0.0000,0.1800,0.1600,0.3000,0.0800
obs_0102,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3900,0.0000,0.1800,0.4200,0.3000,0.0800
obs_0103,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.5200,0.0000,0.1800,0.8200,0.3000,0.0800
obs_0104,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3400,0.0000,0.1800,0.1600,0.3000,0.0800
obs_0105,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3900,0.0000,0.1800,0.4200,0.3000,0.0800
obs_0106,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4800,0.0000,0.1800,0.6200,0.3000,0.0800
obs_0107,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3400,0.0000,0.1800,0.1600,0.3000,0.0800
obs_0108,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3900,0.0000,0.1800,0.4200,0.3000,0.0800
obs_0109,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4800,0.0000,0.1800,0.7600,0.3000,0.0800
obs_0110,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3400,0.0000,0.1800,0.1600,0.3000,0.0800
obs_0111,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3900,0.0000,0.1800,0.4200,0.3000,0.0800
obs_0112,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4800,0.0000,0.1800,0.7400,0.3000,0.0800
obs_0113,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3400,0.0000,0.1800,0.1600,0.3000,0.0800
obs_0114,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.3900,0.0000,0.1800,0.4200,0.3000,0.0800
obs_0115,0.0000,0.1800,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4800,0.0000,0.1800,0.7000,0.3000,0.0800
obs_0116,0.0000,0.1200,0.0000,0.0800,0.0000,0.5200,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2500,0.3000,0.0800
obs_0117,0.0000,0.2800,0.0000,0.0800,0.0000,0.5500,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2300,0.3000,0.0800
obs_0118,0.0000,0.8400,0.0000,0.0800,0.0000,0.6400,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.1700,0.3000,0.2200
obs_0119,0.0000,0.1200,0.0000,0.0800,0.0000,0.5200,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2500,0.3000,0.0800
obs_0120,0.0000,0.2800,0.0000,0.0800,0.0000,0.5500,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2300,0.3000,0.0800
obs_0121,0.0000,0.4800,0.0000,0.0800,0.0000,0.6400,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.1700,0.3000,0.0800
obs_0122,0.0000,0.1200,0.0000,0.0800,0.0000,0.5200,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2500,0.3000,0.0800
obs_0123,0.0000,0.2800,0.0000,0.0800,0.0000,0.5500,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2300,0.3000,0.0800
obs_0124,0.0000,0.7000,0.0000,0.0800,0.0000,0.6400,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.1700,0.3000,0.0800
obs_0125,0.0000,0.1200,0.0000,0.0800,0.0000,0.5200,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2500,0.3000,0.0800
obs_0126,0.0000,0.2800,0.0000,0.0800,0.0000,0.5500,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2300,0.3000,0.0800
obs_0127,0.0000,0.6200,0.0000,0.0800,0.0000,0.6400,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.1700,0.3000,0.0800
obs_0128,0.0000,0.1200,0.0000,0.0800,0.0000,0.5200,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2500,0.3000,0.0800
obs_0129,0.0000,0.2800,0.0000,0.0800,0.0000,0.5500,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.2300,0.3000,0.0800
obs_0130,0.0000,0.6800,0.0000,0.0800,0.0000,0.6400,0.4000,0.0000,0.0000,0.0000,0.3500,0.2800,0.0000,0.1800,0.1700,0.3000,0.0800
obs_0131,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.1800,0.0000,0.1800,0.3100,0.3000,0.0800
obs_0132,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4000,0.0000,0.1800,0.3500,0.3000,0.0800
obs_0133,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.8000,0.0000,0.1800,0.4300,0.3800,0.0800
obs_0134,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.1800,0.0000,0.1800,0.3100,0.3000,0.0800
obs_0135,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4000,0.0000,0.1800,0.3500,0.3000,0.0800
obs_0136,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.8600,0.0000,0.1800,0.4300,0.7800,0.0800
obs_0137,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.1800,0.0000,0.1800,0.3100,0.3000,0.0800
obs_0138,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4000,0.0000,0.1800,0.3500,0.3000,0.0800
obs_0139,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.7200,0.0000,0.1800,0.4300,0.3000,0.0800
obs_0140,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.1800,0.0000,0.1800,0.3100,0.3000,0.0800
obs_0141,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4000,0.0000,0.1800,0.3500,0.3000,0.0800
obs_0142,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.6000,0.0000,0.1800,0.4300,0.3000,0.0800
obs_0143,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.1800,0.0000,0.1800,0.3100,0.3000,0.0800
obs_0144,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.4000,0.0000,0.1800,0.3500,0.3000,0.0800
obs_0145,0.0000,0.2200,0.0000,0.0800,0.0000,0.5000,0.4000,0.0000,0.0000,0.0000,0.3500,0.7400,0.0000,0.1800,0.4300,0.3000,0.0800
