observation_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
obs_0013,0.4500,0.5000,0.5500,0.7000,0.6000,0.6400,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0014,0.4500,0.5000,0.5500,0.7600,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0015,0.4500,0.5000,0.5500,0.7000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0016,0.4500,0.5000,0.5500,0.7000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000
obs_0017,0.4500,0.5000,0.5500,0.7000,0.7600,0.7400,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0018,0.4500,0.5000,0.5500,0.7000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0019,0.4500,0.5000,0.5500,0.7000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000
obs_0020,0.4500,0.7000,0.5500,0.7000,0.6000,0.6600,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000
obs_0021,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0022,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800
obs_0023,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.8000,0.5000,0.5500,0.8000,0.4800
obs_0024,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0025,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800
obs_0026,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.8200,0.5000,0.5500,0.8000,0.7800
obs_0027,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0028,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800
obs_0029,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0030,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0031,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800
obs_0032,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5200,0.5000,0.5500,0.8000,0.4800
obs_0033,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5500,0.5000,0.5500,0.8000,0.4800
obs_0034,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.5800,0.5000,0.5500,0.8000,0.4800
obs_0035,0.6200,0.4000,0.4000,0.5000,0.5500,0.5000,0.0000,0.4000,0.6000,0.5000,0.5500,0.8000,0.4800
obs_0036,0.4000,0.3500,0.4500,0.5000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0037,0.4000,0.3500,0.4500,0.5000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0038,0.4000,0.3500,0.4500,0.5000,0.6000,0.6200,0.0000,0.4500,0.4800,0.4800,0.5500,0.4500,0.4000
obs_0039,0.4000,0.3500,0.4500,0.5000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0040,0.4000,0.3500,0.4500,0.5000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0041,0.4000,0.3500,0.4500,0.5000,0.6400,0.7000,0.0000,0.4500,0.5500,0.4800,0.5500,0.4500,0.4000
obs_0042,0.4000,0.3500,0.4500,0.5000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0043,0.4000,0.3500,0.4500,0.5000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0044,0.4000,0.3500,0.4500,0.5000,0.7200,0.6800,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0045,0.4000,0.3500,0.4500,0.5000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0046,0.4000,0.3500,0.4500,0.5000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0047,0.4000,0.3500,0.4500,0.5000,0.5000,0.7400,0.5500,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0048,0.4000,0.3500,0.4500,0.5000,0.7200,0.7000,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0049,0.4000,0.3500,0.4500,0.5000,0.6200,0.6400,0.0000,0.4500,0.4000,0.4800,0.5500,0.4500,0.4000
obs_0050,0.4000,0.3500,0.4500,0.5000,0.5800,0.6600,0.0000,0.4500,0.5800,0.4800,0.5500,0.4500,0.4000
obs_0051,0.5000,0.4500,0.5000,0.6000,0.7200,0.7400,0.0000,0.4500,0.4800,0.5800,0.6400,0.5600,0.4000
obs_0052,0.5000,0.4500,0.5000,0.6000,0.5800,0.7400,0.0000,0.4500,0.4800,0.5800,0.6600,0.5800,0.4000
obs_0053,0.5000,0.4500,0.5000,0.6000,0.6000,0.7000,0.0000,0.4500,0.4800,0.5800,0.7600,0.6400,0.4000
obs_0054,0.5000,0.6000,0.5000,0.6000,0.5800,0.7200,0.0000,0.4500,0.4800,0.5800,0.7800,0.5800,0.4000
obs_0055,0.5000,0.4500,0.5000,0.6000,0.5800,0.5500,0.0000,0.4500,0.4800,0.5800,0.6000,0.5800,0.4000
