observation_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
obs_0046,0.2200,0.0800,0.2000,0.1600,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000
obs_0047,0.2200,0.0800,0.2600,0.1600,0.4500,0.7800,0.5500,0.5400,0.2800,0.5800,0.3100,0.3000,0.3000
obs_0048,0.2200,0.0800,0.1400,0.1600,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000
obs_0049,0.2200,0.0800,0.2000,0.1600,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000
obs_0050,0.2200,0.0800,0.2600,0.1600,0.6000,0.6400,0.0000,0.5400,0.5200,0.5800,0.3100,0.3000,0.3000
obs_0051,0.4000,0.2200,0.4000,0.6400,0.7800,0.7600,0.0000,0.5000,0.4200,0.2800,0.5800,0.3800,0.3000
obs_0052,0.4000,0.2200,0.4000,0.6400,0.5200,0.7200,0.0000,0.5000,0.4200,0.2800,0.6000,0.4000,0.3000
obs_0053,0.4000,0.2200,0.4000,0.6400,0.5000,0.6200,0.0000,0.5000,0.4200,0.2800,0.8000,0.5500,0.3000
obs_0054,0.4000,0.5500,0.4000,0.6400,0.5200,0.7400,0.0000,0.5000,0.4200,0.2800,0.8800,0.4800,0.3000
obs_0055,0.4000,0.2200,0.4000,0.6400,0.5200,0.5500,0.0000,0.5000,0.4200,0.2800,0.7000,0.5200,0.3000
